name,yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,ER,ERA,CG,E
Texas Rangers,1994,114,52,62,613,3983,1114,198,27,124,437,730.0,82.0,619,5.45,10,105
Toronto Blue Jays,1994,115,55,60,566,3962,1064,210,30,115,387,691.0,79.0,535,4.7,13,80
Atlanta Braves,1995,144,90,54,645,4814,1202,210,27,168,520,933.0,73.0,493,3.44,18,100
Baltimore Orioles,1995,144,71,73,704,4837,1267,229,27,173,574,803.0,92.0,607,4.31,19,72
Boston Red Sox,1995,144,86,58,791,4997,1399,286,31,175,560,923.0,99.0,630,4.39,7,120
California Angels,1995,145,78,67,801,5019,1390,252,25,186,564,889.0,58.0,645,4.52,8,95
Chicago White Sox,1995,145,68,76,755,5060,1417,252,37,146,576,767.0,110.0,692,4.85,12,108
Chicago Cubs,1995,144,73,71,693,4963,1315,267,39,158,440,953.0,105.0,597,4.13,6,115
Cincinnati Reds,1995,144,85,59,747,4903,1326,277,35,161,519,946.0,190.0,577,4.03,8,79
Cleveland Indians,1995,144,100,44,840,5028,1461,279,23,207,542,766.0,132.0,554,3.83,10,101
Colorado Rockies,1995,144,77,67,785,4994,1406,259,43,200,484,943.0,125.0,711,4.97,1,107
Detroit Tigers,1995,144,60,84,654,4865,1204,228,29,159,551,987.0,73.0,778,5.49,5,106
Florida Marlins,1995,143,67,76,673,4886,1278,214,29,144,517,916.0,131.0,610,4.27,12,115
Houston Astros,1995,144,76,68,747,5097,1403,260,22,109,566,992.0,176.0,595,4.06,6,121
Kansas City Royals,1995,144,70,74,629,4903,1275,240,35,119,475,849.0,120.0,643,4.49,11,90
Los Angeles Dodgers,1995,144,78,66,634,4942,1303,191,31,140,468,1023.0,127.0,527,3.66,16,130
Minnesota Twins,1995,144,56,88,703,5005,1398,270,34,120,471,916.0,105.0,814,5.76,7,100
Milwaukee Brewers,1995,144,65,79,740,5000,1329,249,42,128,502,800.0,105.0,689,4.82,7,105
Montreal Expos,1995,144,66,78,621,4905,1268,265,24,118,400,901.0,120.0,586,4.11,7,109
New York Yankees,1995,145,79,65,749,4947,1365,280,34,122,625,851.0,50.0,651,4.56,18,73
New York Mets,1995,144,69,75,657,4958,1323,218,34,125,446,994.0,58.0,557,3.88,9,115
Oakland Athletics,1995,144,67,77,730,4916,1296,228,18,169,565,911.0,112.0,697,4.93,8,101
Philadelphia Phillies,1995,144,69,75,615,4950,1296,263,30,94,497,884.0,72.0,603,4.21,8,96
Pittsburgh Pirates,1995,144,58,86,629,4937,1281,245,27,125,456,972.0,84.0,666,4.7,11,121
San Diego Padres,1995,144,70,74,668,4950,1345,231,20,116,447,872.0,124.0,589,4.13,6,108
Seattle Mariners,1995,145,79,66,796,4996,1377,276,20,182,549,871.0,110.0,644,4.5,9,104
San Francisco Giants,1995,144,67,77,652,4971,1256,229,33,152,472,1060.0,138.0,698,4.86,12,106
St. Louis Cardinals,1995,143,62,81,563,4779,1182,238,24,107,436,920.0,79.0,575,4.09,4,113
Texas Rangers,1995,144,74,70,691,4913,1304,247,24,138,526,877.0,90.0,665,4.66,14,98
Toronto Blue Jays,1995,144,56,88,642,5036,1309,275,27,140,492,906.0,75.0,701,4.88,16,97
Atlanta Braves,1996,162,96,66,773,5614,1514,264,28,197,530,1032.0,83.0,578,3.54,14,130
Baltimore Orioles,1996,163,88,74,949,5689,1557,299,29,257,645,915.0,76.0,840,5.15,13,97
Boston Red Sox,1996,162,85,77,928,5756,1631,308,31,209,642,1020.0,91.0,810,5.0,17,135
California Angels,1996,161,70,91,762,5686,1571,256,24,192,527,974.0,53.0,849,5.31,12,128
Chicago White Sox,1996,162,85,77,898,5644,1586,284,33,195,701,927.0,105.0,735,4.53,7,109
Chicago Cubs,1996,162,76,86,772,5531,1388,267,19,175,523,1090.0,108.0,705,4.36,10,104
Cincinnati Reds,1996,162,81,81,778,5455,1398,259,36,191,604,1134.0,171.0,694,4.33,6,121
Cleveland Indians,1996,161,99,62,952,5681,1665,335,23,218,671,844.0,160.0,702,4.35,13,124
Colorado Rockies,1996,162,83,79,961,5590,1607,297,37,221,527,1108.0,201.0,885,5.6,5,149
Detroit Tigers,1996,162,53,109,783,5530,1413,257,21,204,546,1268.0,87.0,1015,6.38,10,135
Florida Marlins,1996,162,80,82,688,5498,1413,240,30,150,553,1122.0,99.0,633,3.95,8,111
Houston Astros,1996,162,82,80,753,5508,1445,297,29,129,554,1057.0,180.0,704,4.38,13,138
Kansas City Royals,1996,161,75,86,746,5542,1477,286,38,123,529,943.0,195.0,733,4.55,17,111
Los Angeles Dodgers,1996,162,90,72,703,5538,1396,215,33,150,516,1190.0,124.0,567,3.48,6,125
Minnesota Twins,1996,162,78,84,877,5673,1633,332,47,118,576,958.0,143.0,847,5.3,13,94
Milwaukee Brewers,1996,162,80,82,894,5662,1578,304,40,178,624,986.0,101.0,831,5.17,6,134
Montreal Expos,1996,162,88,74,741,5505,1441,297,27,148,492,1077.0,108.0,605,3.78,11,126
New York Yankees,1996,162,92,70,871,5628,1621,293,28,162,632,909.0,96.0,744,4.65,6,91
New York Mets,1996,162,71,91,746,5618,1515,267,47,147,445,1069.0,97.0,675,4.22,10,157
Oakland Athletics,1996,162,78,84,861,5630,1492,283,21,243,640,1114.0,58.0,841,5.2,7,102
Philadelphia Phillies,1996,162,67,95,650,5499,1405,249,39,132,536,1092.0,117.0,710,4.49,12,115
Pittsburgh Pirates,1996,162,73,89,776,5665,1509,319,33,138,510,989.0,126.0,750,4.64,5,128
San Diego Padres,1996,162,91,71,771,5655,1499,285,24,147,601,1014.0,109.0,617,3.73,5,118
Seattle Mariners,1996,161,85,76,993,5668,1625,343,19,245,670,1052.0,90.0,828,5.21,4,110
San Francisco Giants,1996,162,68,94,752,5533,1400,245,21,153,615,1189.0,113.0,756,4.72,9,134
St. Louis Cardinals,1996,162,88,74,759,5502,1468,281,31,142,495,1089.0,149.0,642,3.98,13,125
Texas Rangers,1996,163,90,72,928,5702,1622,323,32,221,660,1041.0,83.0,750,4.66,19,87
Toronto Blue Jays,1996,162,74,88,766,5599,1451,302,35,177,529,1105.0,116.0,735,4.58,19,110
Anaheim Angels,1997,162,84,78,829,5628,1531,279,25,161,617,953.0,126.0,730,4.52,9,126
Atlanta Braves,1997,162,101,61,791,5528,1490,268,37,174,597,1160.0,108.0,518,3.18,21,114
Baltimore Orioles,1997,162,98,64,812,5584,1498,264,22,196,586,952.0,63.0,635,3.91,8,97
Boston Red Sox,1997,162,78,84,851,5781,1684,373,32,185,514,1044.0,68.0,785,4.87,7,136
Chicago White Sox,1997,161,80,81,779,5491,1498,260,28,158,569,901.0,106.0,749,4.74,6,125
Chicago Cubs,1997,162,68,94,687,5489,1444,269,39,127,451,1003.0,116.0,705,4.44,6,115
Cincinnati Reds,1997,162,76,86,651,5484,1386,269,27,142,518,1113.0,190.0,712,4.42,5,106
Cleveland Indians,1997,161,86,75,868,5556,1589,301,22,220,617,955.0,118.0,749,4.73,4,108
Colorado Rockies,1997,162,83,79,923,5603,1611,269,40,239,562,1060.0,137.0,835,5.25,9,111
Detroit Tigers,1997,162,79,83,784,5481,1415,268,32,176,578,1164.0,161.0,732,4.56,13,91
Florida Marlins,1997,162,92,70,740,5439,1410,272,28,136,686,1074.0,115.0,615,3.83,12,119
Houston Astros,1997,162,84,78,777,5502,1427,314,40,133,633,1085.0,171.0,595,3.67,16,131
Kansas City Royals,1997,161,67,94,747,5599,1478,256,35,158,561,1061.0,130.0,755,4.71,11,88
Los Angeles Dodgers,1997,162,88,74,742,5544,1488,242,33,174,498,1079.0,131.0,588,3.63,6,116
Minnesota Twins,1997,162,68,94,772,5634,1522,305,40,132,495,1121.0,151.0,800,5.02,10,100
Milwaukee Brewers,1997,161,78,83,681,5444,1415,294,27,135,494,967.0,103.0,670,4.22,6,125
Montreal Expos,1997,162,78,84,691,5526,1423,339,34,172,420,1084.0,75.0,666,4.14,27,131
New York Yankees,1997,162,96,66,891,5710,1636,325,23,161,676,954.0,99.0,626,3.84,11,105
New York Mets,1997,162,88,74,777,5524,1448,274,28,153,550,1029.0,97.0,640,3.95,7,117
Oakland Athletics,1997,162,65,97,764,5589,1451,274,23,197,642,1181.0,71.0,881,5.49,2,121
Philadelphia Phillies,1997,162,68,94,668,5443,1390,290,35,116,519,1032.0,92.0,768,4.87,13,105
Pittsburgh Pirates,1997,162,79,83,725,5503,1440,291,52,129,481,1161.0,160.0,683,4.28,6,131
San Diego Padres,1997,162,76,86,795,5609,1519,275,16,152,604,1129.0,140.0,804,4.99,5,125
Seattle Mariners,1997,162,90,72,925,5614,1574,312,21,264,626,1110.0,89.0,770,4.79,9,123
San Francisco Giants,1997,162,90,72,784,5485,1415,266,37,172,642,1120.0,121.0,709,4.41,5,120
St. Louis Cardinals,1997,162,73,89,689,5524,1409,269,39,144,543,1191.0,164.0,631,3.9,5,123
Texas Rangers,1997,162,77,85,807,5651,1547,311,27,187,500,1116.0,72.0,744,4.68,8,122
Toronto Blue Jays,1997,162,76,86,654,5473,1333,275,41,147,487,1138.0,134.0,628,3.92,19,97
Anaheim Angels,1998,162,85,77,787,5630,1530,314,27,147,510,1028.0,93.0,720,4.49,3,106
Arizona Diamondbacks,1998,162,65,97,665,5491,1353,235,46,159,489,1239.0,73.0,738,4.64,7,100
Atlanta Braves,1998,162,106,56,826,5484,1489,297,26,215,548,1062.0,98.0,519,3.25,24,91
Baltimore Orioles,1998,162,79,83,817,5565,1520,303,11,214,593,903.0,86.0,752,4.73,16,81
Boston Red Sox,1998,162,92,70,876,5601,1568,338,35,205,541,1049.0,72.0,669,4.19,5,105
Chicago White Sox,1998,163,80,82,861,5585,1516,291,38,198,551,916.0,127.0,837,5.24,8,140
Chicago Cubs,1998,163,90,73,831,5649,1494,250,34,212,601,1223.0,65.0,739,4.5,7,101
Cincinnati Reds,1998,162,77,85,750,5496,1441,298,28,138,608,1107.0,95.0,711,4.44,6,122
Cleveland Indians,1998,162,89,73,850,5616,1530,334,30,198,630,1061.0,143.0,722,4.45,9,110
Colorado Rockies,1998,162,77,85,826,5632,1640,333,36,183,469,949.0,67.0,796,5.0,9,102
Detroit Tigers,1998,162,65,97,722,5664,1494,306,29,165,455,1070.0,122.0,792,4.93,9,115
Florida Marlins,1998,162,54,108,667,5558,1381,277,36,114,525,1120.0,115.0,837,5.2,11,129
Houston Astros,1998,162,102,60,874,5641,1578,326,28,166,621,1122.0,155.0,572,3.5,12,108
Kansas City Royals,1998,161,72,89,714,5546,1459,274,40,134,475,984.0,135.0,823,5.16,6,125
Los Angeles Dodgers,1998,162,83,79,669,5459,1374,209,27,159,447,1056.0,137.0,613,3.81,16,134
Milwaukee Brewers,1998,162,74,88,707,5541,1439,266,17,152,532,1039.0,81.0,746,4.63,2,110
Minnesota Twins,1998,162,70,92,734,5641,1499,285,32,115,506,915.0,112.0,765,4.76,7,108
Montreal Expos,1998,162,65,97,644,5418,1348,280,32,147,439,1058.0,91.0,696,4.39,4,155
New York Yankees,1998,162,114,48,965,5643,1625,290,31,207,653,1025.0,153.0,618,3.82,22,98
New York Mets,1998,162,88,74,706,5510,1425,289,24,136,572,1049.0,62.0,611,3.77,9,101
Oakland Athletics,1998,162,74,88,804,5490,1413,295,13,149,633,1122.0,131.0,770,4.83,12,141
Philadelphia Phillies,1998,162,75,87,713,5617,1482,286,36,126,508,1080.0,97.0,754,4.64,21,110
Pittsburgh Pirates,1998,163,69,93,650,5493,1395,271,35,107,393,1060.0,159.0,630,3.91,7,140
San Diego Padres,1998,162,98,64,749,5490,1390,292,30,167,604,1072.0,79.0,587,3.63,14,104
Seattle Mariners,1998,161,76,85,859,5628,1553,321,28,234,558,1081.0,115.0,783,4.95,17,125
San Francisco Giants,1998,163,89,74,845,5628,1540,292,26,161,678,1040.0,102.0,688,4.19,6,101
St. Louis Cardinals,1998,163,83,79,810,5593,1444,292,30,223,676,1179.0,133.0,705,4.32,6,142
Tampa Bay Devil Rays,1998,162,63,99,620,5555,1450,267,43,111,473,1107.0,120.0,697,4.35,7,94
Texas Rangers,1998,162,88,74,940,5672,1637,314,32,201,595,1045.0,82.0,795,5.0,10,122
Toronto Blue Jays,1998,163,88,74,816,5580,1482,316,19,221,564,1132.0,184.0,698,4.29,10,125
Anaheim Angels,1999,162,70,92,711,5494,1404,248,22,158,511,1022.0,71.0,762,4.79,4,106
Arizona Diamondbacks,1999,162,100,62,908,5658,1566,289,46,216,588,1045.0,137.0,615,3.77,16,104
Atlanta Braves,1999,162,103,59,840,5569,1481,309,23,197,608,962.0,148.0,593,3.63,9,111
Baltimore Orioles,1999,162,78,84,851,5637,1572,299,21,203,615,890.0,107.0,761,4.77,17,89
Boston Red Sox,1999,162,94,68,836,5579,1551,334,42,176,597,928.0,67.0,638,4.0,6,127
Chicago White Sox,1999,162,75,86,777,5644,1563,298,37,162,499,810.0,110.0,786,4.92,6,136
Chicago Cubs,1999,162,67,95,747,5482,1411,255,35,189,571,1170.0,60.0,837,5.27,11,139
Cincinnati Reds,1999,163,96,67,865,5649,1536,312,37,209,569,1125.0,164.0,648,3.99,6,105
Cleveland Indians,1999,162,97,65,1009,5634,1629,309,32,209,743,1099.0,147.0,789,4.9,3,106
Colorado Rockies,1999,162,72,90,906,5716,1644,305,39,223,508,863.0,70.0,955,6.02,12,118
Detroit Tigers,1999,161,69,92,747,5481,1433,289,34,212,458,1049.0,108.0,817,5.18,4,106
Florida Marlins,1999,162,64,98,691,5578,1465,266,44,128,479,1145.0,92.0,781,4.9,6,127
Houston Astros,1999,162,97,65,823,5485,1463,293,23,168,728,1138.0,166.0,622,3.84,12,106
Kansas City Royals,1999,161,64,97,856,5624,1584,294,52,151,535,932.0,127.0,844,5.35,11,125
Los Angeles Dodgers,1999,162,77,85,793,5567,1480,253,23,187,594,1030.0,167.0,718,4.45,8,137
Milwaukee Brewers,1999,161,74,87,815,5582,1524,299,30,165,658,1065.0,81.0,812,5.07,2,127
Minnesota Twins,1999,161,63,97,686,5495,1450,285,30,105,500,978.0,118.0,794,5.02,12,92
Montreal Expos,1999,162,68,94,718,5559,1473,320,47,163,438,939.0,70.0,747,4.69,6,160
New York Yankees,1999,162,98,64,900,5568,1568,302,36,193,718,978.0,104.0,660,4.13,6,111
New York Mets,1999,163,97,66,853,5572,1553,297,14,181,717,994.0,150.0,691,4.27,5,68
Oakland Athletics,1999,162,87,75,893,5519,1430,287,20,235,770,1129.0,70.0,749,4.69,6,122
Philadelphia Phillies,1999,162,77,85,841,5598,1539,302,44,161,631,1081.0,125.0,788,4.93,11,100
Pittsburgh Pirates,1999,161,78,83,775,5468,1417,282,40,171,573,1197.0,112.0,689,4.33,8,147
San Diego Padres,1999,162,74,88,710,5394,1360,256,22,153,631,1169.0,174.0,705,4.47,5,129
Seattle Mariners,1999,162,79,83,859,5572,1499,263,21,244,610,1095.0,130.0,834,5.24,7,113
San Francisco Giants,1999,162,86,76,872,5563,1507,307,18,188,696,1028.0,109.0,762,4.71,6,105
St. Louis Cardinals,1999,161,75,86,809,5570,1461,274,27,194,613,1202.0,134.0,761,4.74,5,132
Tampa Bay Devil Rays,1999,162,69,93,772,5586,1531,272,29,145,544,1042.0,73.0,805,5.06,6,135
Texas Rangers,1999,162,95,67,945,5651,1653,304,29,230,611,937.0,111.0,809,5.07,6,119
Toronto Blue Jays,1999,162,84,78,883,5642,1580,337,14,212,578,1077.0,119.0,786,4.92,14,106
Anaheim Angels,2000,162,82,80,864,5628,1574,309,34,236,608,1024.0,93.0,805,5.0,5,134
Arizona Diamondbacks,2000,162,85,77,792,5527,1466,282,44,179,535,975.0,97.0,698,4.35,16,107
Atlanta Braves,2000,162,95,67,810,5489,1490,274,26,179,595,1010.0,148.0,648,4.05,13,129
Baltimore Orioles,2000,162,74,88,794,5549,1508,310,22,184,558,900.0,126.0,855,5.37,14,116
Boston Red Sox,2000,162,85,77,792,5630,1503,316,32,167,611,1019.0,43.0,683,4.23,7,109
Chicago White Sox,2000,162,95,67,978,5646,1615,325,33,216,591,960.0,119.0,751,4.66,5,133
Chicago Cubs,2000,162,65,97,764,5577,1426,272,23,183,632,1120.0,93.0,849,5.25,10,100
Cincinnati Reds,2000,163,85,77,825,5635,1545,302,36,200,559,995.0,100.0,700,4.33,8,111
Cleveland Indians,2000,162,90,72,950,5683,1639,310,30,221,685,1057.0,113.0,775,4.84,6,72
Colorado Rockies,2000,162,82,80,968,5660,1664,320,53,161,601,907.0,131.0,835,5.26,7,94
Detroit Tigers,2000,162,79,83,823,5644,1553,307,41,177,562,982.0,83.0,755,4.71,6,105
Florida Marlins,2000,161,79,82,731,5509,1441,274,29,160,540,1184.0,168.0,729,4.59,5,125
Houston Astros,2000,162,72,90,938,5570,1547,289,36,249,673,1129.0,114.0,865,5.42,8,133
Kansas City Royals,2000,162,77,85,879,5709,1644,281,27,150,511,840.0,121.0,876,5.48,10,102
Los Angeles Dodgers,2000,162,86,76,798,5481,1408,265,28,211,668,1083.0,95.0,659,4.1,9,135
Milwaukee Brewers,2000,163,73,89,740,5563,1366,297,25,177,620,1245.0,72.0,755,4.63,2,118
Minnesota Twins,2000,162,69,93,748,5615,1516,325,49,116,556,1021.0,90.0,819,5.14,6,102
Montreal Expos,2000,162,67,95,738,5535,1475,310,35,178,476,1048.0,58.0,812,5.13,4,132
New York Yankees,2000,161,87,74,871,5556,1541,294,25,205,631,1007.0,99.0,753,4.76,9,109
New York Mets,2000,162,94,68,807,5486,1445,281,20,198,675,1037.0,66.0,670,4.16,8,118
Oakland Athletics,2000,161,91,70,947,5560,1501,281,23,239,750,1159.0,40.0,730,4.58,7,134
Philadelphia Phillies,2000,162,65,97,708,5511,1386,304,40,144,611,1117.0,102.0,763,4.77,8,100
Pittsburgh Pirates,2000,162,69,93,793,5643,1506,320,31,168,564,1032.0,86.0,795,4.94,5,132
San Diego Padres,2000,162,76,86,752,5560,1413,279,37,157,602,1177.0,131.0,733,4.52,5,141
Seattle Mariners,2000,162,91,71,907,5497,1481,300,26,198,775,1073.0,122.0,720,4.49,4,99
San Francisco Giants,2000,162,97,65,925,5519,1535,304,44,226,709,1032.0,79.0,675,4.21,9,93
St. Louis Cardinals,2000,162,95,67,887,5478,1481,259,25,235,675,1253.0,87.0,698,4.38,10,111
Tampa Bay Devil Rays,2000,161,69,92,733,5505,1414,253,22,162,558,1022.0,90.0,773,4.86,10,118
Texas Rangers,2000,162,71,91,848,5648,1601,330,35,173,580,922.0,69.0,876,5.52,3,135
Toronto Blue Jays,2000,162,83,79,861,5677,1562,328,21,244,526,1026.0,89.0,821,5.14,15,100
Anaheim Angels,2001,162,75,87,691,5551,1447,275,26,158,494,1001.0,116.0,671,4.2,6,103
Arizona Diamondbacks,2001,162,92,70,818,5595,1494,284,35,208,587,1052.0,71.0,627,3.87,12,84
Atlanta Braves,2001,162,88,74,729,5498,1432,263,24,174,493,1039.0,85.0,578,3.59,5,103
Baltimore Orioles,2001,162,63,98,687,5472,1359,262,24,136,514,989.0,133.0,744,4.67,10,125
Boston Red Sox,2001,161,82,79,772,5605,1493,316,29,198,520,1131.0,46.0,667,4.15,3,113
Chicago White Sox,2001,162,83,79,798,5464,1463,300,29,214,520,998.0,123.0,725,4.55,8,118
Chicago Cubs,2001,162,88,74,777,5406,1409,268,32,194,577,1077.0,67.0,643,4.03,8,109
Cincinnati Reds,2001,162,66,96,735,5583,1464,304,22,176,468,1172.0,103.0,765,4.77,2,138
Cleveland Indians,2001,162,91,71,897,5600,1559,294,37,212,577,1076.0,79.0,746,4.64,3,107
Colorado Rockies,2001,162,73,89,923,5690,1663,324,61,213,511,1027.0,132.0,841,5.29,8,96
Detroit Tigers,2001,162,66,96,724,5537,1439,291,60,139,466,972.0,133.0,795,5.01,16,131
Florida Marlins,2001,162,76,86,742,5542,1461,325,30,166,470,1145.0,89.0,691,4.32,5,103
Houston Astros,2001,162,93,69,847,5528,1500,313,29,208,581,1119.0,64.0,707,4.37,7,110
Kansas City Royals,2001,162,65,97,729,5643,1503,277,37,152,406,898.0,100.0,779,4.87,5,117
Los Angeles Dodgers,2001,162,86,76,758,5493,1399,264,27,206,519,1062.0,89.0,685,4.25,3,116
Milwaukee Brewers,2001,162,68,94,740,5488,1378,273,30,209,488,1399.0,66.0,740,4.64,3,103
Minnesota Twins,2001,162,85,77,771,5560,1514,328,38,164,495,1083.0,146.0,722,4.51,12,108
Montreal Expos,2001,162,68,94,670,5379,1361,320,28,131,478,1071.0,101.0,745,4.68,5,108
New York Yankees,2001,161,95,65,804,5577,1488,289,20,203,519,1035.0,161.0,649,4.02,7,109
New York Mets,2001,162,82,80,642,5459,1361,273,18,147,545,1062.0,66.0,654,4.07,6,101
Oakland Athletics,2001,162,102,60,884,5573,1469,334,22,199,640,1021.0,68.0,583,3.59,13,125
Philadelphia Phillies,2001,162,86,76,746,5497,1431,295,29,164,551,1125.0,153.0,667,4.15,8,91
Pittsburgh Pirates,2001,162,62,100,657,5398,1333,256,25,161,467,1106.0,93.0,794,5.05,8,133
San Diego Padres,2001,162,79,83,789,5482,1379,273,26,161,678,1273.0,129.0,724,4.52,5,145
Seattle Mariners,2001,162,116,46,927,5680,1637,310,38,169,614,989.0,174.0,576,3.54,8,83
San Francisco Giants,2001,162,90,72,799,5612,1493,304,40,235,625,1090.0,57.0,680,4.18,3,118
St. Louis Cardinals,2001,162,93,69,814,5450,1469,274,32,199,529,1089.0,91.0,627,3.93,8,110
Tampa Bay Devil Rays,2001,162,62,100,672,5524,1426,311,21,121,456,1116.0,115.0,781,4.94,1,139
Texas Rangers,2001,162,73,89,890,5685,1566,326,23,246,548,1093.0,97.0,913,5.71,4,114
Toronto Blue Jays,2001,162,80,82,767,5663,1489,287,36,195,470,1094.0,156.0,696,4.28,7,97
Anaheim Angels,2002,162,99,63,851,5678,1603,333,32,152,462,805.0,117.0,595,3.69,7,87
Arizona Diamondbacks,2002,162,98,64,819,5508,1471,283,41,165,643,1016.0,92.0,630,3.92,14,89
Atlanta Braves,2002,161,101,59,708,5495,1428,280,25,164,558,1028.0,76.0,511,3.13,3,114
Baltimore Orioles,2002,162,67,95,667,5491,1353,311,27,165,452,993.0,110.0,719,4.46,8,91
Boston Red Sox,2002,162,93,69,859,5640,1560,348,33,177,545,944.0,80.0,603,3.75,5,104
Chicago White Sox,2002,162,81,81,856,5502,1475,289,29,217,555,952.0,75.0,716,4.53,7,97
Chicago Cubs,2002,162,67,95,706,5496,1351,259,29,200,585,1269.0,63.0,687,4.29,11,114
Cincinnati Reds,2002,162,78,84,709,5470,1386,297,21,169,583,1188.0,116.0,690,4.27,2,120
Cleveland Indians,2002,162,74,88,739,5423,1349,255,26,192,542,1000.0,52.0,777,4.91,9,113
Colorado Rockies,2002,162,73,89,778,5512,1508,283,41,152,497,1043.0,103.0,825,5.2,1,112
Detroit Tigers,2002,161,55,106,575,5406,1340,265,37,124,363,1035.0,65.0,773,4.92,11,142
Florida Marlins,2002,162,79,83,699,5496,1433,280,32,146,595,1130.0,177.0,706,4.36,11,106
Houston Astros,2002,162,84,78,749,5503,1441,291,32,167,589,1120.0,71.0,642,4.0,2,83
Kansas City Royals,2002,162,62,100,737,5535,1415,285,42,140,524,921.0,140.0,834,5.21,12,130
Los Angeles Dodgers,2002,162,92,70,713,5554,1464,286,29,155,428,940.0,96.0,598,3.69,4,90
Milwaukee Brewers,2002,162,56,106,627,5415,1369,269,29,139,500,1125.0,94.0,752,4.73,7,103
Minnesota Twins,2002,161,94,67,768,5582,1518,348,36,167,472,1089.0,79.0,662,4.12,8,74
Montreal Expos,2002,162,83,79,735,5479,1432,300,36,162,575,1104.0,118.0,641,3.97,9,139
New York Yankees,2002,161,103,58,897,5601,1540,314,12,223,640,1171.0,100.0,625,3.87,9,127
New York Mets,2002,161,75,86,690,5496,1409,238,22,160,486,1044.0,87.0,624,3.89,9,144
Oakland Athletics,2002,162,103,59,800,5558,1450,279,28,205,609,1008.0,46.0,593,3.68,9,102
Philadelphia Phillies,2002,161,80,81,710,5523,1428,325,41,165,640,1095.0,104.0,671,4.17,5,88
Pittsburgh Pirates,2002,161,72,89,641,5330,1300,263,20,142,537,1109.0,86.0,664,4.23,2,115
San Diego Padres,2002,162,66,96,662,5515,1393,243,29,136,547,1062.0,71.0,737,4.62,5,128
Seattle Mariners,2002,162,93,69,814,5569,1531,285,31,152,629,1003.0,137.0,654,4.07,8,88
San Francisco Giants,2002,162,95,66,783,5497,1465,300,35,198,616,961.0,74.0,566,3.54,10,90
St. Louis Cardinals,2002,162,97,65,787,5505,1475,285,26,175,542,927.0,86.0,595,3.7,4,103
Tampa Bay Devil Rays,2002,161,55,106,673,5604,1418,297,35,133,456,1115.0,102.0,846,5.29,12,126
Texas Rangers,2002,162,72,90,843,5618,1510,304,27,230,554,1055.0,62.0,824,5.15,4,99
Toronto Blue Jays,2002,162,78,84,813,5581,1457,305,38,187,522,1142.0,71.0,767,4.8,6,107
Anaheim Angels,2003,162,77,85,736,5487,1473,276,33,150,476,838.0,129.0,680,4.28,5,105
Arizona Diamondbacks,2003,162,84,78,717,5570,1467,303,47,152,531,1006.0,76.0,621,3.84,7,107
Atlanta Braves,2003,162,101,61,907,5670,1608,321,31,235,545,933.0,68.0,663,4.1,4,121
Baltimore Orioles,2003,163,71,91,743,5665,1516,277,24,152,431,902.0,89.0,767,4.76,9,105
Boston Red Sox,2003,162,95,67,961,5769,1667,371,40,238,620,943.0,88.0,729,4.48,5,113
Chicago White Sox,2003,162,86,76,791,5487,1445,303,19,220,519,916.0,77.0,663,4.17,12,93
Chicago Cubs,2003,162,88,74,724,5519,1431,302,24,172,492,1158.0,73.0,619,3.83,13,106
Cincinnati Reds,2003,162,69,93,694,5509,1349,239,21,182,524,1326.0,80.0,818,5.09,4,141
Cleveland Indians,2003,162,68,94,699,5572,1413,296,26,158,466,1062.0,86.0,682,4.21,5,126
Colorado Rockies,2003,162,74,88,853,5518,1472,330,31,198,619,1134.0,63.0,821,5.2,3,116
Detroit Tigers,2003,162,43,119,591,5466,1312,201,39,153,443,1099.0,98.0,847,5.3,3,138
Florida Marlins,2003,162,91,71,751,5490,1459,292,44,157,515,978.0,150.0,648,4.04,7,78
Houston Astros,2003,162,87,75,805,5583,1466,308,30,191,557,1021.0,66.0,622,3.86,1,95
Kansas City Royals,2003,162,83,79,836,5568,1526,288,39,162,476,926.0,120.0,808,5.05,7,108
Los Angeles Dodgers,2003,162,85,77,574,5458,1328,260,25,124,407,985.0,80.0,511,3.16,3,119
Milwaukee Brewers,2003,162,68,94,714,5548,1423,266,24,196,547,1221.0,99.0,810,5.02,5,114
Minnesota Twins,2003,162,90,72,801,5655,1567,318,45,155,512,1027.0,94.0,716,4.41,7,87
Montreal Expos,2003,162,83,79,711,5437,1404,294,25,144,522,990.0,100.0,640,4.01,15,102
New York Yankees,2003,163,101,61,877,5605,1518,304,14,230,684,1042.0,98.0,653,4.02,8,114
New York Mets,2003,161,66,95,642,5341,1317,262,24,124,489,1035.0,70.0,704,4.48,3,118
Oakland Athletics,2003,162,96,66,768,5497,1398,317,24,176,556,898.0,48.0,582,3.63,16,107
Philadelphia Phillies,2003,162,86,76,791,5543,1448,325,27,166,651,1155.0,72.0,648,4.04,9,97
Pittsburgh Pirates,2003,162,75,87,753,5581,1492,275,45,163,529,1049.0,86.0,744,4.64,7,123
San Diego Padres,2003,162,64,98,678,5531,1442,257,32,128,565,1073.0,76.0,774,4.87,2,102
Seattle Mariners,2003,162,93,69,795,5561,1509,290,33,139,586,989.0,108.0,602,3.76,8,65
San Francisco Giants,2003,161,100,61,755,5456,1440,281,29,180,593,980.0,53.0,595,3.73,7,80
St. Louis Cardinals,2003,162,85,77,876,5672,1580,342,32,196,580,952.0,82.0,748,4.6,9,77
