name,yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,ER,ERA,CG,E
Detroit Tigers,1987,162,98,64,896,5649,1535,274,32,225,653,913.0,106.0,650,4.02,33,122
Houston Astros,1987,162,76,86,648,5485,1386,238,28,122,526,936.0,162.0,615,3.84,13,115
Kansas City Royals,1987,162,83,79,715,5499,1443,239,40,168,523,1034.0,125.0,611,3.86,44,131
Los Angeles Dodgers,1987,162,73,89,635,5517,1389,236,23,125,445,923.0,128.0,601,3.72,29,155
Minnesota Twins,1987,162,85,77,786,5441,1422,258,35,196,523,898.0,113.0,734,4.63,16,98
Milwaukee Brewers,1987,162,91,71,862,5625,1552,272,46,163,598,1040.0,176.0,752,4.62,28,145
Montreal Expos,1987,162,91,71,741,5527,1467,310,39,120,501,918.0,166.0,632,3.92,16,147
New York Yankees,1987,162,89,73,788,5511,1445,239,16,196,604,949.0,105.0,701,4.36,19,102
New York Mets,1987,162,92,70,823,5601,1499,287,34,192,592,1012.0,159.0,620,3.84,16,137
Oakland Athletics,1987,162,81,81,806,5511,1432,263,33,199,593,1056.0,140.0,694,4.32,18,142
Philadelphia Phillies,1987,162,80,82,702,5475,1390,248,51,169,587,1109.0,111.0,673,4.18,13,121
Pittsburgh Pirates,1987,162,80,82,723,5536,1464,282,45,131,535,914.0,140.0,674,4.2,25,123
San Diego Padres,1987,162,65,97,668,5456,1419,209,48,113,577,992.0,198.0,680,4.27,14,146
Seattle Mariners,1987,162,78,84,760,5508,1499,282,48,161,500,863.0,174.0,713,4.49,39,121
San Francisco Giants,1987,162,90,72,783,5608,1458,274,32,205,511,1094.0,126.0,601,3.68,19,129
St. Louis Cardinals,1987,162,95,67,798,5500,1449,252,49,94,644,933.0,248.0,637,3.91,10,116
Texas Rangers,1987,162,75,87,823,5564,1478,264,35,194,567,1081.0,120.0,743,4.63,20,148
Toronto Blue Jays,1987,162,96,66,845,5635,1514,277,38,215,555,970.0,126.0,604,3.74,18,111
Atlanta Braves,1988,160,54,106,555,5440,1319,228,28,96,432,848.0,95.0,657,4.09,14,151
Baltimore Orioles,1988,161,54,107,550,5358,1275,199,20,137,504,869.0,69.0,714,4.54,20,118
Boston Red Sox,1988,162,89,73,813,5545,1569,310,39,124,623,728.0,65.0,629,3.97,26,93
California Angels,1988,162,75,87,714,5582,1458,258,31,124,469,819.0,86.0,698,4.32,26,135
Chicago White Sox,1988,161,71,90,631,5449,1327,224,35,132,446,908.0,98.0,659,4.12,11,154
Chicago Cubs,1988,163,77,85,660,5675,1481,262,46,113,403,910.0,120.0,625,3.84,30,125
Cincinnati Reds,1988,161,87,74,641,5426,1334,246,25,122,479,922.0,207.0,542,3.35,24,121
Cleveland Indians,1988,162,78,84,666,5505,1435,235,28,134,416,866.0,97.0,663,4.16,35,124
Detroit Tigers,1988,162,88,74,703,5433,1358,213,28,143,588,841.0,87.0,596,3.71,34,109
Houston Astros,1988,162,82,80,617,5494,1338,239,31,96,474,840.0,198.0,558,3.41,21,138
Kansas City Royals,1988,161,84,77,704,5469,1419,275,40,121,486,944.0,137.0,579,3.65,29,124
Los Angeles Dodgers,1988,162,94,67,628,5431,1346,217,25,99,437,947.0,131.0,481,2.96,32,142
Minnesota Twins,1988,162,91,71,759,5510,1508,294,31,151,528,832.0,107.0,625,3.93,18,83
Milwaukee Brewers,1988,162,87,75,682,5488,1409,258,26,113,439,911.0,159.0,555,3.45,30,120
Montreal Expos,1988,163,81,81,628,5573,1400,260,48,107,454,1053.0,189.0,507,3.08,18,142
New York Yankees,1988,161,85,76,772,5592,1469,272,12,148,588,935.0,146.0,689,4.26,16,134
New York Mets,1988,160,100,60,703,5408,1387,251,24,152,544,842.0,140.0,465,2.91,31,115
Oakland Athletics,1988,162,104,58,800,5602,1474,251,22,156,580,926.0,129.0,569,3.44,22,105
Philadelphia Phillies,1988,162,65,96,597,5403,1294,246,31,106,489,981.0,112.0,659,4.14,16,145
